shopping_share,dining_share,subscriptions_share,weekly_spike_ratio,repeat_merchant_ratio,anomaly_count,average_transaction,needs_attention
10.29,21.72,4.97,2.08,0.118,2,51.02,1
22.31,21.27,6.11,2.32,0.146,3,92.88,1
7.15,21.52,6.45,0.73,0.141,0,25.09,0
47.04,22.0,8.83,1.84,0.379,1,87.59,1
14.67,20.14,7.71,1.17,0.08,1,27.03,0
28.69,21.6,11.88,2.53,0.341,2,220.22,1
12.0,16.27,4.76,1.18,0.077,0,50.58,0
28.85,24.74,7.59,2.41,0.259,1,90.07,1
26.84,19.98,2.04,0.77,0.128,0,50.79,0
45.05,13.05,6.44,2.2,0.393,1,138.27,1
26.28,15.61,3.8,1.9,0.073,1,138.56,1
48.38,29.48,7.48,2.33,0.271,1,58.97,1
25.77,14.59,8.5,0.77,0.086,1,64.69,0
42.07,16.48,9.48,0.99,0.223,3,73.08,1
21.31,12.07,6.67,0.79,0.152,0,37.85,0
39.74,36.86,12.01,3.58,0.309,2,149.07,1
20.85,14.13,8.75,0.78,0.177,1,24.47,1
38.21,26.5,5.95,1.85,0.253,1,104.46,1
15.14,9.14,4.61,0.95,0.09,1,66.63,0
32.53,20.35,7.65,1.38,0.19,1,172.06,1
19.55,10.17,4.66,1.34,0.171,1,119.63,1
47.29,27.03,16.35,2.3,0.207,3,89.42,1
21.24,14.13,2.15,1.12,0.079,1,23.45,0
37.97,31.83,16.58,2.08,0.345,1,67.54,1
17.27,8.92,5.43,0.71,0.172,1,29.13,0
27.11,18.32,15.15,3.24,0.286,3,158.42,1
23.63,14.66,7.93,0.82,0.139,0,52.89,0
52.94,12.11,4.96,1.5,0.388,2,110.55,1
15.43,7.88,4.25,0.74,0.117,0,46.17,0
37.43,35.53,16.44,2.49,0.287,1,74.59,1
18.74,17.96,4.28,2.18,0.17,1,144.63,1
29.01,33.32,8.71,1.76,0.363,3,182.78,1
7.12,15.47,2.98,1.18,0.134,1,66.45,1
54.51,37.75,11.64,1.66,0.391,1,121.51,1
11.65,13.99,7.95,0.98,0.087,0,50.99,0
29.93,18.41,15.34,2.03,0.357,3,145.56,1
24.8,9.49,4.6,0.97,0.175,0,65.93,1
37.06,41.56,14.38,1.97,0.285,1,145.07,1
20.55,8.58,3.53,1.24,0.148,1,49.71,0
35.66,12.89,7.42,2.57,0.334,2,150.76,1
18.87,11.99,7.25,1.66,0.093,1,103.56,1
36.71,25.99,6.52,2.58,0.212,1,63.7,1
14.45,12.57,8.38,1.03,0.146,1,55.7,0
31.24,31.91,11.95,1.51,0.134,2,174.94,1
26.65,5.32,5.34,1.09,0.053,0,59.64,0
26.04,40.91,4.64,3.2,0.302,2,225.51,1
16.88,15.6,5.84,0.99,0.156,0,63.9,0
30.52,41.71,14.41,1.15,0.311,0,122.66,1
13.73,8.67,5.13,0.89,0.059,0,68.44,0
38.05,27.8,4.86,0.99,0.238,3,123.85,1
16.3,18.51,7.01,1.79,0.128,1,126.03,1
24.71,15.83,17.75,1.98,0.401,1,140.22,1
24.25,10.05,8.01,0.88,0.129,0,39.53,0
46.32,18.08,6.34,2.8,0.128,2,115.22,1
18.42,12.18,8.4,0.98,0.103,0,23.95,0
18.46,40.01,9.88,3.33,0.291,4,188.03,1
19.17,16.08,7.41,1.11,0.081,1,37.71,1
33.24,34.92,15.2,0.93,0.332,2,79.35,1
14.31,6.65,4.27,1.06,0.153,0,54.46,0
24.2,21.63,5.05,1.1,0.294,1,136.25,1
14.41,20.54,4.37,1.67,0.111,1,94.37,1
56.35,36.76,5.5,2.6,0.29,1,108.75,1
17.42,8.01,7.76,1.1,0.097,0,57.43,0
30.34,29.98,6.54,1.77,0.123,2,183.04,1
21.32,19.12,3.25,1.2,0.09,1,47.69,1
56.65,20.58,14.58,3.81,0.274,4,240.37,1
6.85,21.84,6.61,1.09,0.119,0,58.05,0
28.42,17.22,8.96,1.09,0.241,1,120.9,1
7.04,6.15,3.54,0.79,0.061,1,39.14,0
43.57,36.72,10.93,1.28,0.39,0,86.87,1
25.52,18.22,8.32,1.47,0.119,2,151.57,1
24.45,34.47,6.02,2.18,0.221,0,63.75,1
26.02,8.09,7.65,1.1,0.173,1,61.75,1
34.58,31.94,6.8,1.61,0.395,2,82.9,1
6.92,19.72,2.56,1.05,0.137,1,39.58,0
26.31,18.42,10.18,2.64,0.324,1,200.29,1
24.9,5.64,5.84,0.74,0.104,0,36.53,0
46.19,41.89,11.65,1.18,0.354,1,165.83,1
25.09,20.9,3.33,1.05,0.136,1,19.67,1
27.88,22.78,17.9,1.27,0.38,0,133.38,1
16.43,6.69,6.9,1.89,0.076,2,100.56,1
23.67,21.08,5.49,1.18,0.124,0,93.66,1
19.89,11.56,7.86,1.07,0.096,0,41.17,0
29.07,29.6,6.61,2.41,0.41,1,133.9,1
17.77,15.41,3.65,0.89,0.107,0,67.56,0
24.94,18.06,14.41,2.29,0.272,2,108.8,1
15.74,11.88,4.11,1.22,0.128,0,37.99,0
21.21,20.56,5.94,2.72,0.42,2,52.99,1
20.71,5.94,7.59,1.09,0.099,0,36.27,0
